text,label
interstellar paling recommended sih  the martian tentang astronout yang bertahan hidup di mars sendirian  kalau mau yang ada romancenya bisa nonton the space between us,1
israel air strike on syria kills seven people,0
in the arthmetic of love  one plus one equals everything  and two minus one equals nothings  mignon mclaughlin  dalam ilmu artmatika cinta  satu tambah satu sama dengan segalanya  dan dua dikurangi satu sama dengan tidak ada ,1
our favourite vice president nominees respect his people confidences   calon wakil presiden kesukaan kita menghormati rasa percaya rakyatnya    jakarta  indonesia ,1
ada lagi preview nya  do not know who but keknya kamu yang lebih tau lah ini seifuku nya siapa hehe,1
saya lebih parah nder  setangan tangan sampai ke punggung tangan ngelopek kering begitu  rajinin pakai vaseline yang petroleum or whatever  jelly nder  it works well on me so far,1
keterpurukan pengetahuan politik ini yang kita alami disumbang juga oleh masyarakat yang well educated tentang politik tidak menjalankan fungsi sosialnya sebagai bagian dari yang mencerdaskan bangsa ,1
astaghfirullah    mmemang hanya sekedar sesempit ini cara berpikirnya gerombolan sana itu   not respect at at   losing logical and i hope allah will heal their minds from hatric  ,0
 a nation that destroys its soils  destroys itself  forests are the lungs of our land  it is purifying the air and giving fresh strenght to our people     franklin d  roosevelt  happy international forest day   save forest  save life  best regard  bslc ,1
not bad   start from   k  enak kok   gih gih cobain kalau dekat   hahaha,1
serius amat jawab nya,0
namun  fakta berikut ini bisa jadi membuatmu berpikir ulang sebelum memutuskan prinsip hidup single  why not  ,0
well  i do not expect either klo dia begitu   but as a bait  harusnya bisa dibongkar yang besar besar nya   naver menutup akses soal kasus ini kan     udah dilicinin apa ,0
karena ya memang di peak season  workload tambah dan harus di kerjain dalam kurun waktu yang singkat  sangat   contoh  dapet task nya sore   banyak  harus selesai besok siangnya  ya memang udah dapat deadline dari sana nya begitu   it does not mean that my workload is not well managed,1
 yaah kok bisa lupa gitu sih  yaah tidak well itu   kalian berdua mengulang dong    ,0
survey new indonesia research   consulting ,1
love is not what the mind thinks but what the heart feels  greg evans  cinta itu bukan apa yang dipikirkan oleh akal  tapi cinta adalah apa yang dirasakan oleh hati ,1
mainan edukasi yang hadir di    negara dan dapat lebih dari     penghargaan solusi tumbuh kembang anak    k s kids not just a toy   our store   jalan  batanghari no   cideng   lotte shopping avenue    ,1
bullshit anjing not as easy as what you think bitch  karena apa duit bisa segalanya bosque ,0
yuk  gibisaon era terbaik di tahun         an awal nya silahkan   bekas      gibson usa les paul standard heritage cherry  unchambered      bekas umur    tahun tapi masih  ,1
by the way i am not man enough deng yang terakhir wkwk,1
bang sandi hadapi seorang politisi  bukan ketua mui yang kiyai  do not let your supporters down bang sandi ,1
dropship apa,1
hmm menarik jersey ketiganya  yang kolaborasi ama air jordan sepertinya  fontnya mirip font basket  will be better if not icardi named on it  ,1
mungkin ini yang selama ini di kritik  not all of them  ,0
down nya jangan lama lama sedih nya jangan lama lama  tuhan tidak suka   saya bangkit kok  harga benda masih bisa dicari tapi nyawa tidak   puji tuhan masih diberi keselamatan semua nya tanpa luka sedikitpun,1
vitamin c serum by hello derma  price           ohiya tekstur serum vitamin c by hello derma adalah water based ya not oil jadi cepat sangat meresap nya dan tidak lengket sama sekali ,1
kalau sama sama mau  ya why not  tapi kalau mau healthy relationship  ya jangan ,1
can not wait digging indonesia music    jakarta  indonesia,1
jeffri bergumam lembut  entah setuju atau mempertanyakan objektivitas pernyataanku barusan  but yeah  who cares  aku tidak terlalu mempikirkannya  karena sekarang dia menatapku dengan intensi berbeda   well  not here  jeff    ,0
memang tidak bisa lancar diputar di samsung smart tv ya  aplikasinya auto shut down mulu    is it not applicable for samsung smart tv  your app keeps auto shut down ,0
ig ada storiesnya fb ada storiesnya wa ada storiesnya sekarang twitter ada storiesnya  tinggal menunggu bca mobile ada storiesnya nih  biar bisa post sisa saldo pake backsound you raise me up,0
cara open account insta forex   ,1
messaged bisa  ulang tahun kemerdekaan  ultah sumpah pemuda  ultah kebangkitan nasional  ultah hari air sedunia  ultah hari pahlawan  why not ,1
back in the days dimana hoax masih kenceng kencengnya di percaya segala kalangan   lagu pemanggil setan ,0
hey mbak  hope the surgery went well dan pemulihannya semua lancar ,1
dumb alias daki,0
tahun lalu  i recommend one of my client to put their ads on mrt  station or the train itself   tak ada yang percaya  not even my boss  dan liat siapa sekarang yang sudah pasang billboard sebesar gaban di station mrt  masa trial mrt  orang foto foto dengan latar belakang pilar itu  ck,1
god is great  mr  harvino  an experienced indonesian aviator  said  then recited a verse asking god to grant a miracle   but there was no miracle on oct      when the brand new boeing     max   dived into the java sea in indonesia ,1
great  setelah cina  indonesia dan singapura semoga yang lain menyusul   you have to take the     max matters seriously  we talking about lives here ,0
yang awalnya sempat down sangat karena lagi ngalamin the lowest point  ketemu orang orang hebat dari segi pola pikir sampe bacotan receh tidak penting tapi true life  now   here i am,1
 lho sejak kapan sakit  yaah vampirnya gagal keren deh  nava juga tepar sudah   hari ini  tapi tidak sampe dirawat kaya kakak  get well soon kak  ,0
the teachings of islam   tahun             halaman   hardcover   harga           minat   pemesanan  direct message or klik wa ,1
tanggung lah   bikin survey kok not realistic  sekalian saja     ,1
saya main game hentai pun hingga sekarang tidak menjadi sex predator  well said   it is all about self control  ,0
bosen maen begituan   not my type binggo   ngantuk duluan yang adaaaa ,0
been there every month  dan yang selalu kena imbas nya pacar  doi yang saya marahin  yang mood swing  yang kalau lg hari nya itu semua serba salah  yang nangis tanpa sebab  yang insecure juga  tapi doi selalu support  dan bilang it will pass you can do it last month so why not now,1
praise the lord almighty  terima kasih semesta yang ramah dan agung  masih mempercayakan tugas ini kepada saya    management of low back pain     management of knee pain  yang kemarin diselenggarakan di the yoga ,1
the most powerful japanese rock girls band   duhhh mami chan dulu ter cute ala ala hayley williams sekarang ter nyentrik nih saya sangat dah  semoga next song konsisten seperti ini tipe musiknya lebih berani ,1
ciamik keduanya di atas angka        well mr sandy lead anyway     atas ijin allah swt doa anak bamgsa yang ingin perubahan tentunya,1
 agains  hehe happy weddings mba dan uda noval  hopefully your family be a sakinah  mawadah  and warrahmah     ,1
dan bagi yang bertanya tanya apa saja paket saya     paketku all service but not only about sex  bisa juga hangout   trip together  dan soal my fee  saya kasih tau lebih baik mahal dikit   dari pada murah tapi maling   nipu  noted  langsung direct message or whatsapp yang berminat ya   ,0
kebal hukum    not fair    bisa kah hal ini di sebut dengan kezaliman  wallahu a lam bishawab      ,0
dia  i am ok without you  lol,0
lieur aing beberapa hari ini susah ngecharge kalau ada tulisan ini  anyone yang tau tidak how to fix this problem   nb   hp saya asus zenfone max pro m ,1
sama seperti orang yang ngefans iwan fals kasih nama anaknya bento   imagine him introduce himself in japanese ,0
it is like debut    karena lucu    kemudian jadi meme  gitu maksud nya  is not something bad kok   ,1
simpati sering sekali down  hm,0
bagus nya di bubar kan saja    acara tidak ada faedah nya   isi nya cuma gontok gontokan tidak jelas   apalagi tadi malam   pak tua banyak ngelantur ngomong nya ,0
supporting circumstance memang se penting itu  tapi kalau kalau tidak menemukan lingkungan tersebut  do not give up   coba ciptain sendiri lingkungan pendukung tersebut dengan cari teman teman yang satu visi dan misi     talk to my self ,1
hari ini izin tidak masuk kantor karena sakit  tapi karena memang lagi hectic di kantor jadinya tetap saja kerja  terus saya pikir   lebih enak kerja remote gini sih  sepertinya saya lelah sama kantornya  bukan kerjaannya  tapi lelah sama cara kerjanya kantor juga deng    resign or not to resign,0
i am his fans  tapi memang kalau dia salah dan kelakuannya begitu dia pantas dapat hukuman yang setimpal  udah gila sih ini dunia kpop,0
ahh aku save yaa kak well suka sangat ,1
i was just walking in a mall with nyonya when i caught a    something creep staring at her ass  so i did the natural thing  stared back at him dead in the eyes with this look  then i said liat apa pak   well someones getting a nightmare tonight ,0
where we love is truly home  home that our feet may leave  but not our hearts  oliver windell holmes  tempat yang paling kita cintai adalah rumah  rumah dimana kaki kita bisa saja meninggalkannya  tapi hati kita tak bisa melupakannya ,1
why not both  sesekali indo sesekali inggris,1
amin amin yaallah  allah suka sangat sama orang yang berusaha dan berserah diri  you did well  kamu pasti bisa nder  percaya sama diri kamu sendiri itu kuncinya  kalau seandainya belum rezeki kamu tenang masih banyak jalan yang bagus untuk dilalui  semangat,1
haduh cakep cakep dumb,0
loh bukan nya menteri suharto ada yang homo  ,0
ternyata saya salah sangka selama ini   dasar penipu bejat    cursed    sering disunat      ,0
hai  selamat   hemat air  selamatkan bumi selamatkan kehidupan     how can you appreciate bigger thing when you cannot appreciate a single drop  ,1
if you love me  let me know  if not  please let me go  anonymous  jika kau mencintaiku  biarkanlah aku tahu  tapi jika tidak  tolong biarkan aku pergi ,1
you ngomong saja tidak benar bangke,0
i thought i fell on somebody surround me  but in fact i fell on the seat  when you ran out of air  you know you cannot hear anything  so  a girl gave me her seat  and i was seated by i did not know who hehe,1
inside   not ready for usbn unbk utbk simak utul iup dll  outside ,0
saya sih selama pacaran  kalau sahabat saya juga punya pacar   kadang saya sama sahabat saya masih suka teleponan vc an   apa ya lebih ke intensitas aja sih mungkin berkurang  yang penting hindari yang bisa dicemburui pasangan jangan terlalu diumbar   sudah lah lupain   main saja sama yang lain nder ,1
ketika apps lain udah not supported di hape butut ini dan twitter masih bisa  terharu aku tuh   balada hp ku yang  canggih  itu rusak ,1
kau tidak tau betapa rapuhnya aku      you sing you lose  you not sing you kudet,0
udah malem ci wkkwkw  lancar kegiatan hari ini nya and semangat buat theater an nya ya ci   sorry aku lagi sukip dulu smpe hs    cici jangan kangen ya  ehh,1
omnya ni not recommended   yang keluar dari mulutnya sering bau   xixi,0
pegawai guardian training lagi sepperti mentang mentang saya seperti gembel hanya kaos sama flat shoes nanya di cuek in bangsat emang males belinya juga kabur saya ke matahari,0
tahan  tunggu sebentar  berhenti sejenak atau melangkah mundur gapapa ko  dari situ bisa liat lagi semua yang ada  see  its not that bad  masih banyak yang bisa dilakukan  masih banyak peluang  masih banyak yang bisa bikin kamu bahagia  all you need is stop and step back a bit  then you can run   jump high,1
sa kamu kan jutek sama orang baru    you know me so well berarti lah yahhhhh       yaaa hahahahaaaaaaa    jutek sama jaga jarak memang beda tipis tebal   ,0
never mind i am find some one like you      bisa jadi malah semakin membuat seseorang percaya diri dan strong loh brother,1
mungkin dulu kubu kita pernah di prediksi seperti togel   yang bicara si nganu      nah lho   kalau rumus rumus an begini gimana    bisa bisa gondokan seumur hidup kali ,0
yang vidioin yang di cari  yang beberkan bukti yang di cari  we do not believe ,0
semenjak ditelpon contact center telkomsel buat pindah ke kartu halo dan menolak  jaringan malah makin lambat  ada something nih keknya ,0
tiba tiba  dia masuk lagi dan ngomong     kaya nya dirumah ini ada hantu nya   masa vape di taro rapih bisa jatoh    gua jawablah  mungkin angin kenceng  but posisi disitu pintu ketutup semua dan micky lagi tidur  so    ,1
well  same here hehe   kadang suka begitu,1
kenal sih kir aku sama dia teman juga  cuma not that freaking close sampe taraf apa pun dikasih,1
